,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,Total expenditure, HIV/AIDS, thinness  1-19 years,Income composition of resources,Immunization Coverage,Schooling
667,2005,Developing,77.2,19.0,1,4.48,518.9359221,0,53.8,9.39,0.1,3.4,0.7190000000000001,High Polio & High Diphtheria,14.2
668,2004,Developing,77.3,17.0,1,4.38,4.484254579,0,53.0,6.14,0.1,3.4,0.705,High Polio & High Diphtheria,13.2
669,2003,Developing,77.4,18.0,1,4.39,60.34145124,0,52.1,6.31,0.1,3.5,0.6940000000000001,High Polio & High Diphtheria,12.9
670,2002,Developing,77.7,19.0,1,4.1,334.76721069999996,0,51.3,6.5,0.1,3.5,0.6920000000000001,High Polio & High Diphtheria,12.5
671,2001,Developing,76.7,115.0,1,4.04,322.5863149,0,5.4,6.27,0.1,3.6,0.6859999999999999,High Polio & High Diphtheria,12.3
672,2000,Developing,76.9,115.0,1,3.92,49.34007756,0,49.4,6.7,0.1,3.6,0.679,High Polio & High Diphtheria,12.1
674,2014,Developed,83.0,53.0,0,0.01,207.3041936,10,59.8,7.37,0.1,0.9,0.85,High Polio & High Diphtheria,14.0
675,2013,Developed,81.0,54.0,0,9.04,212.0859259,0,59.2,7.46,0.1,0.9,0.85,High Polio & High Diphtheria,13.8
676,2012,Developed,80.0,56.0,0,10.55,2159.756205,1,58.7,7.44,0.1,0.9,0.85,High Polio & High Diphtheria,13.8
677,2011,Developed,79.7,57.0,0,10.69,2443.325028,0,58.3,7.54,0.1,0.9,0.847,High Polio & High Diphtheria,13.8
678,2010,Developed,79.5,59.0,0,11.32,283.3300258,18,57.8,7.23,0.1,0.9,0.853,High Polio & High Diphtheria,14.6
679,2009,Developed,79.3,6.0,0,10.8,230.25241839999998,0,57.3,7.4,0.1,0.9,0.8490000000000001,High Polio & High Diphtheria,14.1
680,2008,Developed,79.1,62.0,0,12.01,239.64099380000002,1,56.8,6.89,0.1,0.9,0.8440000000000001,High Polio & High Diphtheria,13.7
681,2007,Developed,78.9,63.0,0,11.56,1958.525877,0,56.3,6.5,0.1,0.9,0.836,High Polio & High Diphtheria,13.5
682,2006,Developed,78.8,64.0,0,11.47,1700.841534,0,55.8,6.28,0.1,0.9,0.8290000000000001,High Polio & High Diphtheria,13.4
683,2005,Developed,78.7,65.0,0,11.41,1562.520827,1,55.3,6.37,0.1,0.9,0.826,High Polio & High Diphtheria,13.5
684,2004,Developed,78.6,65.0,0,13.03,1586.7241720000002,0,54.8,6.42,0.1,0.9,0.823,High Polio & High Diphtheria,13.4
685,2003,Developed,78.5,66.0,0,10.62,158.70873989999998,0,54.3,6.83,0.1,0.9,0.815,High Polio & High Diphtheria,13.0
686,2002,Developed,78.4,68.0,0,11.68,1128.050886,0,53.8,6.12,0.1,0.9,0.805,High Polio & High Diphtheria,12.5
687,2001,Developed,78.2,69.0,0,10.16,100.8086193,0,53.3,5.78,0.1,0.9,0.8,High Polio & High Diphtheria,12.4
688,2000,Developed,78.1,7.0,0,9.56,950.8027925000001,0,52.8,5.77,0.1,0.9,0.7979999999999999,High Polio & High Diphtheria,12.5
738,2014,Developed,84.0,73.0,0,9.64,10468.762920000001,27,58.4,1.8,0.1,1.1,0.9259999999999999,High Polio & High Diphtheria,19.2
739,2013,Developed,81.0,75.0,0,9.5,10261.763,17,58.1,11.25,0.1,1.1,0.924,High Polio & High Diphtheria,18.7
740,2012,Developed,80.0,76.0,0,9.26,928.4170785,2,57.7,1.98,0.1,1.1,0.922,High Polio & High Diphtheria,18.4
741,2011,Developed,79.7,79.0,0,10.47,10251.10872,84,57.4,1.87,0.1,1.1,0.91,High Polio & High Diphtheria,16.9
742,2010,Developed,79.2,84.0,0,10.28,954.4865933,5,57.0,11.8,0.1,1.1,0.9059999999999999,Low Polio &  Low Diphtheria,16.8
743,2009,Developed,78.9,86.0,0,10.08,9765.616994,6,56.6,11.47,0.1,1.1,0.9059999999999999,High Polio & High Diphtheria,16.8
744,2008,Developed,78.8,88.0,0,10.7,10761.18209,14,56.3,1.18,0.1,1.1,0.9059999999999999,High Polio & High Diphtheria,16.8
745,2007,Developed,78.4,93.0,0,10.99,9703.068121,2,55.9,9.99,0.1,1.2,0.904,High Polio & High Diphtheria,16.7
746,2006,Developed,78.1,93.0,0,11.02,850.9544783,27,55.4,9.92,0.1,1.2,0.902,High Polio & High Diphtheria,16.9
747,2005,Developed,78.1,92.0,0,11.28,7627.412444,2,55.0,9.77,0.1,1.2,0.897,High Polio & High Diphtheria,16.6
748,2004,Developed,77.7,98.0,0,11.27,6948.839868000001,0,54.4,9.67,0.1,1.2,0.893,High Polio & High Diphtheria,16.5
749,2003,Developed,77.3,11.0,0,11.54,650.9813544,0,53.9,9.51,0.1,1.2,0.882,High Polio & High Diphtheria,16.3
750,2002,Developed,77.0,14.0,0,11.34,4801.546125,32,53.3,9.33,0.1,1.2,0.875,High Polio & High Diphtheria,16.6
751,2001,Developed,77.0,12.0,0,11.56,530.4832336000001,11,52.8,9.1,0.1,1.3,0.862,High Polio & High Diphtheria,16.2
752,2000,Developed,76.9,12.0,0,11.69,508.7496912,14,52.2,8.7,0.1,1.3,0.86,High Polio & High Diphtheria,16.5
754,2014,Developing,63.0,252.0,1,0.38,24.73299655,0,34.4,1.57,2.1,5.6,0.467,High Polio & High Diphtheria,6.3
755,2013,Developing,62.7,256.0,1,0.53,229.4410095,28,33.8,9.14,2.1,5.6,0.46399999999999997,High Polio & High Diphtheria,6.3
756,2012,Developing,62.2,263.0,1,0.52,217.21257859999997,709,33.2,8.95,1.9,5.6,0.46,High Polio & High Diphtheria,6.3
757,2011,Developing,61.8,268.0,1,0.39,20.35974738,49,32.7,8.71,2.7,5.6,0.451,High Polio & High Diphtheria,5.9
758,2010,Developing,61.3,273.0,1,0.44,187.49600969999997,7,32.2,8.84,3.1,5.6,0.441,High Polio & High Diphtheria,5.5
759,2009,Developing,69.0,279.0,1,0.49,177.26716069999998,48,31.7,8.37,3.2,5.7,0.436,High Polio & High Diphtheria,5.3
760,2008,Developing,62.0,289.0,1,0.49,171.7686449,143,31.3,8.5,3.3,5.7,0.42700000000000005,High Polio & High Diphtheria,5.0
761,2007,Developing,59.8,296.0,1,0.45,20.86878709,24,3.9,7.72,3.5,5.8,0.41600000000000004,High Polio & High Diphtheria,4.5
762,2006,Developing,59.1,39.0,2,1.02,121.4812077,49,3.6,7.5,3.7,5.8,0.405,High Polio & High Diphtheria,4.3
763,2005,Developing,58.6,318.0,2,1.23,12.70325933,298,3.2,7.21,3.9,5.9,0.396,High Polio & High Diphtheria,4.0
764,2004,Developing,58.1,326.0,2,1.18,106.0354659,71,29.8,6.76,4.0,6.0,0.38799999999999996,High Polio & High Diphtheria,3.7
765,2003,Developing,58.0,325.0,2,1.02,94.13302875,37,29.4,6.22,4.2,6.1,0.37799999999999995,High Polio & High Diphtheria,3.5
766,2002,Developing,57.9,322.0,2,1.03,13.46662004,50,29.0,5.45,4.3,6.2,0.37200000000000005,High Polio & High Diphtheria,3.3
767,2001,Developing,57.7,323.0,2,0.95,92.4978948,79,28.6,5.37,4.3,6.3,0.363,Low Polio &  Low Diphtheria,2.9
768,2000,Developing,57.4,325.0,2,1.34,91.95075901,183,28.2,5.75,4.1,6.4,0.361,Low Polio &  Low Diphtheria,2.9
771,2014,Developing,73.6,154.0,6,5.92,1088.244952,0,57.9,4.38,0.3,3.3,0.7120000000000001,Low Polio & High Diphtheria,13.2
772,2013,Developing,73.4,157.0,6,5.93,97.52211538,0,56.8,4.12,0.3,3.3,0.7090000000000001,High Polio & High Diphtheria,13.2
773,2012,Developing,72.1,174.0,6,5.93,857.1307037,0,55.8,4.26,0.4,3.3,0.706,High Polio & High Diphtheria,13.1
774,2011,Developing,73.1,16.0,6,5.91,843.7876994999999,2,54.7,4.22,0.7,3.3,0.703,High Polio & High Diphtheria,13.0
775,2010,Developing,72.7,166.0,6,6.02,664.5585242000001,0,53.6,4.6,0.9,3.3,0.6970000000000001,High Polio & High Diphtheria,12.9
776,2009,Developing,73.6,157.0,6,6.05,587.8828227999999,0,52.6,4.41,1.2,3.4,0.695,High Polio & High Diphtheria,12.9
777,2008,Developing,73.3,161.0,6,6.12,49.09241952,0,51.5,4.2,1.4,3.4,0.6920000000000001,High Polio & High Diphtheria,12.8
778,2007,Developing,72.9,164.0,6,6.05,74.8217488,0,5.4,4.34,1.6,3.4,0.685,High Polio & High Diphtheria,12.7
779,2006,Developing,72.3,178.0,7,6.2,352.9551269,0,49.3,4.34,1.8,3.5,0.677,High Polio & High Diphtheria,12.6
780,2005,Developing,69.7,28.0,7,5.71,289.7418649,0,48.2,4.26,2.0,3.5,0.6679999999999999,High Polio & High Diphtheria,12.6
781,2004,Developing,69.3,214.0,7,5.16,182.61625149999998,0,47.2,4.28,2.1,3.6,0.6659999999999999,High Polio & High Diphtheria,12.5
782,2003,Developing,73.0,22.0,7,6.32,293.0196601,0,46.1,5.53,2.3,3.6,0.665,High Polio & High Diphtheria,12.4
783,2002,Developing,71.4,189.0,7,6.43,4.67359227,0,45.1,5.79,2.4,3.7,0.66,High Polio & High Diphtheria,12.3
784,2001,Developing,71.2,188.0,7,6.13,340.02399449999996,113,44.1,5.59,2.5,3.8,0.6559999999999999,High Polio & High Diphtheria,12.3
785,2000,Developing,72.0,176.0,7,6.58,44.79247812,253,43.1,5.9,2.5,3.8,0.6509999999999999,High Polio & High Diphtheria,12.2
787,2014,Developing,76.0,121.0,6,3.82,79.11626341,0,53.5,9.16,0.1,1.2,0.737,High Polio & High Diphtheria,14.0
788,2013,Developing,76.0,121.0,6,3.77,59.12850204,0,52.8,7.29,0.1,1.3,0.725,High Polio & High Diphtheria,13.4
789,2012,Developing,75.5,127.0,7,3.92,41.88087712,72,52.1,6.48,0.1,1.3,0.7170000000000001,High Polio & High Diphtheria,13.3
790,2011,Developing,75.3,131.0,7,3.99,344.7412164,257,51.4,5.92,0.1,1.3,0.71,High Polio & High Diphtheria,13.2
791,2010,Developing,75.0,134.0,7,3.95,367.9285652,0,5.7,5.9,0.1,1.3,0.703,High Polio & High Diphtheria,13.1
792,2009,Developing,75.1,137.0,7,3.87,282.1440066,0,5.0,5.58,0.1,1.3,0.7020000000000001,High Polio & High Diphtheria,13.1
793,2008,Developing,74.6,139.0,7,3.76,197.9303077,1,49.3,5.66,0.1,1.3,0.698,High Polio & High Diphtheria,13.0
794,2007,Developing,74.7,14.0,7,3.63,19.60467787,0,48.6,5.94,0.2,1.4,0.696,High Polio & High Diphtheria,12.9
795,2006,Developing,74.4,144.0,8,3.52,19.13983284,0,47.9,5.86,0.3,1.4,0.693,High Polio & High Diphtheria,12.8
796,2005,Developing,74.2,151.0,8,3.54,18.09317114,0,47.2,5.87,0.3,1.4,0.688,High Polio & High Diphtheria,12.8
797,2004,Developing,74.4,148.0,8,3.65,16.37920405,0,46.5,6.22,0.3,1.5,0.682,Low Polio & High Diphtheria,12.7
798,2003,Developing,74.4,151.0,8,3.69,18.26183281,0,45.8,6.46,0.3,1.5,0.679,High Polio & High Diphtheria,12.6
799,2002,Developing,73.6,157.0,8,3.88,187.3843511,0,45.1,4.62,0.3,1.5,0.675,High Polio & High Diphtheria,12.5
800,2001,Developing,73.4,158.0,9,4.13,14.588740300000001,2,44.3,3.86,0.3,1.6,0.67,Low Polio & High Diphtheria,12.4
801,2000,Developing,72.8,163.0,9,3.99,84.17527008,0,43.6,3.38,0.3,1.6,0.6679999999999999,High Polio & High Diphtheria,12.4
803,2014,Developing,78.0,161.0,53,0.21,0.0,1314,6.2,5.64,0.1,2.8,0.6859999999999999,High Polio & High Diphtheria,13.1
804,2013,Developing,79.0,159.0,54,0.21,0.0,405,59.4,5.46,0.1,2.9,0.6809999999999999,High Polio & High Diphtheria,12.8
805,2012,Developing,72.0,165.0,54,0.23,0.0,245,58.6,5.29,0.1,2.9,0.6729999999999999,High Polio & High Diphtheria,12.4
806,2011,Developing,74.0,168.0,55,0.22,0.0,26,57.8,5.4,0.1,2.9,0.6709999999999999,High Polio & High Diphtheria,12.4
807,2010,Developing,70.0,173.0,54,0.22,0.0,16,57.0,4.8,0.1,3.0,0.665,High Polio & High Diphtheria,12.2
808,2009,Developing,69.9,174.0,54,0.21,0.0,608,56.2,5.1,0.1,3.0,0.659,High Polio & High Diphtheria,12.0
809,2008,Developing,69.8,172.0,54,0.24,0.0,668,55.5,4.82,0.1,3.1,0.6509999999999999,High Polio & High Diphtheria,11.9
810,2007,Developing,69.7,171.0,55,0.21,0.0,1684,54.8,4.95,0.1,3.1,0.644,High Polio & High Diphtheria,11.7
811,2006,Developing,69.5,175.0,55,0.18,0.0,953,54.2,5.24,0.1,3.2,0.636,High Polio & High Diphtheria,11.5
812,2005,Developing,69.4,174.0,56,0.16,0.0,77,53.5,5.6,0.1,3.2,0.629,High Polio & High Diphtheria,11.4
813,2004,Developing,69.0,176.0,57,0.16,0.0,80,52.9,5.21,0.1,3.3,0.623,High Polio & High Diphtheria,11.2
814,2003,Developing,68.6,178.0,59,0.15,0.0,164,52.3,5.41,0.1,3.3,0.621,High Polio & High Diphtheria,11.3
815,2002,Developing,68.7,177.0,61,0.15,0.0,653,51.8,5.97,0.1,3.4,0.617,High Polio & High Diphtheria,11.2
816,2001,Developing,68.6,177.0,63,0.14,0.0,2150,51.2,5.75,0.1,3.5,0.612,High Polio & High Diphtheria,11.1
817,2000,Developing,68.8,171.0,65,0.14,0.0,2633,5.7,5.55,0.1,3.6,0.606,High Polio & High Diphtheria,11.0
819,2014,Developing,73.3,181.0,2,2.52,665.7260253,0,55.4,6.77,0.2,1.6,0.6759999999999999,High Polio & High Diphtheria,13.2
820,2013,Developing,73.0,184.0,2,2.42,653.6925016,0,54.7,6.95,0.2,1.6,0.675,High Polio & High Diphtheria,13.2
821,2012,Developing,73.0,181.0,2,2.48,591.7757569,0,54.1,6.7,0.3,1.6,0.67,High Polio & High Diphtheria,13.2
822,2011,Developing,72.0,197.0,2,2.37,549.2783081,0,53.4,6.81,0.3,1.7,0.6659999999999999,Low Polio & High Diphtheria,13.0
823,2010,Developing,72.0,191.0,2,2.36,469.3904193,0,52.8,6.91,0.3,1.7,0.662,High Polio & High Diphtheria,12.9
824,2009,Developing,71.4,23.0,2,2.55,416.43383989999995,0,52.1,6.83,0.3,1.7,0.662,High Polio & High Diphtheria,12.8
825,2008,Developing,71.7,194.0,2,2.68,53.95949877,0,51.4,6.21,0.3,1.8,0.659,High Polio & High Diphtheria,13.4
826,2007,Developing,71.2,23.0,2,2.83,52.30172215,0,5.8,6.32,0.3,1.8,0.657,High Polio & High Diphtheria,12.9
827,2006,Developing,75.0,211.0,3,2.77,57.74562629,0,5.1,6.68,0.2,1.8,0.6509999999999999,High Polio & High Diphtheria,12.9
828,2005,Developing,71.0,213.0,3,2.77,440.60270419999995,0,49.4,7.19,0.2,1.9,0.644,High Polio & High Diphtheria,12.7
829,2004,Developing,70.0,215.0,3,2.9,398.60583219999995,0,48.6,7.3,0.3,1.9,0.636,Low Polio &  Low Diphtheria,12.4
830,2003,Developing,69.9,29.0,3,3.1,400.1342971,0,47.8,7.61,0.3,2.0,0.628,High Polio & High Diphtheria,12.0
831,2002,Developing,73.0,24.0,3,2.97,29.68529375,0,47.0,7.9,0.4,2.0,0.621,High Polio & High Diphtheria,11.8
832,2001,Developing,68.9,219.0,4,2.88,332.1056586,2,46.2,8.2,0.4,2.1,0.615,High Polio & High Diphtheria,11.6
833,2000,Developing,69.0,218.0,4,2.79,353.6690328,0,45.3,8.17,0.4,2.1,0.607,High Polio & High Diphtheria,11.3
835,2014,Developing,57.9,32.0,3,0.01,13.40477417,13,24.0,3.8,4.4,8.5,0.5820000000000001,Low Polio &  Low Diphtheria,9.2
836,2013,Developing,57.4,327.0,3,10.72,156.3907685,321,23.5,3.73,5.7,8.6,0.586,Low Polio &  Low Diphtheria,9.2
837,2012,Developing,56.7,337.0,3,11.89,1500.412635,1190,23.0,4.0,8.2,8.7,0.583,Low Polio &  Low Diphtheria,9.2
838,2011,Developing,56.2,344.0,3,10.99,1493.051277,0,22.6,3.29,7.7,8.9,0.58,Low Polio &  Low Diphtheria,9.2
839,2010,Developing,56.1,339.0,3,9.93,1192.696619,0,22.1,3.84,7.2,9.0,0.589,Low Polio &  Low Diphtheria,9.2
840,2009,Developing,55.7,34.0,3,7.97,115.0692415,78,21.7,5.32,7.3,9.2,0.59,Low Polio &  Low Diphtheria,9.1
841,2008,Developing,55.4,338.0,3,8.34,1705.678619,436,21.3,2.31,6.3,9.3,0.5920000000000001,Low Polio &  Low Diphtheria,9.1
842,2007,Developing,55.0,339.0,3,6.86,1024.5195429999999,5,2.9,2.25,5.9,9.5,0.5870000000000001,Low Polio &  Low Diphtheria,9.0
843,2006,Developing,54.8,337.0,3,7.28,827.5979335,0,2.5,2.13,5.3,9.7,0.569,Low Polio &  Low Diphtheria,9.0
844,2005,Developing,54.4,337.0,3,7.19,12.0661671,0,2.2,1.63,4.9,9.8,0.563,Low Polio &  Low Diphtheria,8.7
845,2004,Developing,54.1,336.0,3,6.28,44.54768305,38,19.8,2.4,4.4,1.0,0.5529999999999999,Low Polio &  Low Diphtheria,8.5
846,2003,Developing,53.8,334.0,3,7.13,309.7834587,18,19.5,2.23,3.6,1.2,0.5539999999999999,Low Polio &  Low Diphtheria,8.4
847,2002,Developing,53.5,334.0,3,6.01,234.78742069999998,24,19.1,2.5,2.9,1.4,0.542,Low Polio &  Low Diphtheria,8.2
848,2001,Developing,53.1,334.0,3,5.07,197.78395519999998,1339,18.7,1.78,2.3,1.6,0.527,Low Polio &  Low Diphtheria,8.0
849,2000,Developing,52.7,336.0,3,4.46,14.95451321,0,18.3,2.73,1.9,1.7,0.0,Low Polio &  Low Diphtheria,0.0
851,2014,Developing,64.4,261.0,5,0.01,0.0,127,18.0,3.34,0.4,8.5,0.41600000000000004,High Polio & High Diphtheria,5.0
852,2013,Developing,64.0,266.0,6,0.01,0.0,45,17.5,3.1,0.5,8.6,0.414,High Polio & High Diphtheria,5.0
853,2012,Developing,63.6,274.0,6,0.01,0.0,194,17.0,2.98,0.6,8.7,0.41,High Polio & High Diphtheria,5.0
854,2011,Developing,62.9,286.0,6,0.62,20.97991915,48,16.5,3.6,0.7,8.8,0.405,High Polio & High Diphtheria,5.0
855,2010,Developing,62.1,298.0,6,0.61,17.35739784,51,16.0,3.24,0.9,8.9,0.40399999999999997,Low Polio &  Low Diphtheria,5.1
856,2009,Developing,61.4,311.0,6,0.63,1.575160196,82,15.5,3.3,1.0,9.0,0.402,High Polio & High Diphtheria,5.2
857,2008,Developing,67.0,322.0,6,0.49,11.76572311,0,15.1,3.69,1.1,9.1,0.406,High Polio & High Diphtheria,5.2
858,2007,Developing,62.0,329.0,6,1.23,11.42385961,55,14.7,3.29,1.3,9.2,0.405,High Polio & High Diphtheria,5.3
859,2006,Developing,59.7,336.0,7,0.97,10.60269773,128,14.3,3.3,1.4,9.3,0.405,High Polio & High Diphtheria,5.3
860,2005,Developing,59.4,34.0,7,1.07,5.0646889680000005,19,13.9,2.97,1.6,9.4,0.0,High Polio & High Diphtheria,5.4
861,2004,Developing,59.1,342.0,7,0.64,10.26097341,24,13.6,3.14,1.8,9.6,0.0,High Polio & High Diphtheria,5.0
862,2003,Developing,58.8,343.0,7,0.56,6.913998013,376,13.3,3.5,1.9,9.7,0.0,High Polio & High Diphtheria,4.7
863,2002,Developing,58.5,343.0,7,0.83,0.703132179,460,13.1,4.2,1.9,9.9,0.0,High Polio &  Low Diphtheria,4.4
864,2001,Developing,58.1,345.0,7,0.61,5.593619538,204,12.8,3.95,2.0,1.0,0.0,High Polio & High Diphtheria,4.3
865,2000,Developing,45.3,593.0,7,0.83,0.7359403609999999,789,12.6,4.43,1.9,1.2,0.0,High Polio & High Diphtheria,3.9
867,2014,Developing,77.3,122.0,0,0.01,2700.07305,0,59.4,6.38,0.1,1.9,0.86,High Polio & High Diphtheria,16.5
868,2013,Developing,76.9,127.0,0,0.01,261.29148080000004,2,59.0,6.48,0.1,1.9,0.856,High Polio & High Diphtheria,16.5
869,2012,Developing,76.3,135.0,0,0.01,2263.1037969999998,4,58.5,6.36,0.1,1.9,0.85,High Polio & High Diphtheria,16.5
870,2011,Developing,76.1,138.0,0,0.01,2146.945741,7,58.0,5.83,0.1,1.9,0.838,High Polio & High Diphtheria,16.4
871,2010,Developing,75.6,137.0,0,14.97,1802.017593,0,57.6,6.25,0.1,1.9,0.833,High Polio & High Diphtheria,16.2
872,2009,Developing,74.9,156.0,0,15.04,1717.0887109999999,0,57.1,6.93,0.1,2.0,0.836,High Polio & High Diphtheria,16.1
873,2008,Developing,74.2,167.0,0,16.99,225.07236180000004,0,56.7,6.6,0.1,2.0,0.835,High Polio & High Diphtheria,16.1
874,2007,Developing,73.0,189.0,0,17.87,1904.1246899999999,1,56.3,5.16,0.1,2.0,0.8290000000000001,High Polio & High Diphtheria,16.1
875,2006,Developing,73.0,188.0,0,16.58,244.3510801,27,55.9,5.1,0.1,2.1,0.8220000000000001,High Polio & High Diphtheria,16.1
876,2005,Developing,72.8,189.0,0,15.52,153.5045263,2,55.5,5.2,0.1,2.1,0.812,High Polio & High Diphtheria,15.9
877,2004,Developing,72.3,195.0,0,15.07,101.12011609999999,0,55.2,5.13,0.1,2.2,0.805,High Polio & High Diphtheria,15.7
878,2003,Developing,71.9,199.0,0,11.64,132.7233922,0,54.9,4.92,0.1,2.2,0.7979999999999999,High Polio & High Diphtheria,15.6
879,2002,Developing,71.2,211.0,0,11.48,7.806042825,0,54.6,4.84,0.1,2.3,0.7909999999999999,High Polio & High Diphtheria,15.4
880,2001,Developing,78.0,225.0,0,0.01,88.62945822,0,54.3,4.85,0.1,2.4,0.7809999999999999,High Polio & High Diphtheria,15.0
881,2000,Developing,78.0,218.0,0,0.01,5.34809451,9,54.0,5.28,0.1,2.5,0.764,High Polio & High Diphtheria,14.4
883,2014,Developing,64.2,234.0,140,0.01,89.95805845,12739,17.2,4.88,0.6,1.5,0.435,High Polio & High Diphtheria,8.4
884,2013,Developing,63.7,237.0,145,1.86,8.313282039,5253,16.8,5.19,0.9,1.6,0.42700000000000005,Low Polio & High Diphtheria,8.4
885,2012,Developing,63.3,241.0,150,1.84,86.82551124,4347,16.4,5.77,1.2,1.7,0.42200000000000004,Low Polio & High Diphtheria,8.4
886,2011,Developing,62.6,249.0,156,1.32,67.77565369,3255,16.0,6.55,1.4,1.9,0.41100000000000003,Low Polio & High Diphtheria,8.2
887,2010,Developing,61.8,261.0,162,1.34,67.73374413,4235,15.6,6.86,1.7,11.0,0.401,High Polio & High Diphtheria,8.1
888,2009,Developing,68.0,274.0,169,1.17,53.77354001,1176,15.3,4.41,2.0,11.1,0.39299999999999996,High Polio &  Low Diphtheria,8.1
889,2008,Developing,59.8,289.0,177,1.13,38.55783268,3511,14.9,4.28,2.4,11.2,0.37799999999999995,High Polio &  Low Diphtheria,7.6
890,2007,Developing,58.5,39.0,186,1.06,30.46451811,1446,14.5,4.69,2.8,11.3,0.36200000000000004,High Polio &  Low Diphtheria,7.1
891,2006,Developing,57.2,328.0,196,1.22,22.18952246,1451,14.2,4.47,3.3,11.4,0.34600000000000003,Low Polio &  Low Diphtheria,6.6
892,2005,Developing,56.0,343.0,206,0.99,18.03753133,357,13.8,4.2,3.7,11.5,0.325,Low Polio &  Low Diphtheria,5.8
893,2004,Developing,55.0,354.0,217,0.86,1.5069624819999998,73,13.5,4.23,4.1,11.5,0.31,Low Polio &  Low Diphtheria,5.4
894,2003,Developing,54.0,363.0,228,0.79,10.97201912,228,13.2,4.64,4.4,11.6,0.306,Low Polio &  Low Diphtheria,5.2
895,2002,Developing,53.2,369.0,237,0.8,10.82452594,3332,12.9,4.73,4.6,11.7,0.298,Low Polio &  Low Diphtheria,4.9
896,2001,Developing,52.5,372.0,246,0.85,1.186227577,2366,12.6,4.26,4.9,11.8,0.28300000000000003,Low Polio &  Low Diphtheria,4.3
897,2000,Developing,51.2,391.0,253,0.88,11.59481766,1660,12.3,4.36,5.0,11.9,0.0,Low Polio &  Low Diphtheria,3.9
899,2014,Developing,69.7,19.0,0,0.01,50.539484,0,61.9,4.49,0.1,4.0,0.727,High Polio & High Diphtheria,15.2
900,2013,Developing,69.6,192.0,0,0.01,460.6487805,0,61.1,4.26,0.1,4.0,0.7190000000000001,High Polio & High Diphtheria,15.0
901,2012,Developing,69.4,195.0,0,0.01,431.4854874,0,6.2,4.16,0.1,4.0,0.7140000000000001,High Polio & High Diphtheria,14.9
902,2011,Developing,69.2,197.0,0,0.01,401.79310449999997,0,59.5,4.6,0.1,4.0,0.7090000000000001,High Polio & High Diphtheria,14.7
903,2010,Developing,69.1,2.0,0,2.25,62.08343533,0,58.7,4.23,0.1,4.0,0.706,High Polio & High Diphtheria,14.6
904,2009,Developing,68.9,23.0,0,2.31,60.65068446,1,58.0,4.26,0.1,4.0,0.7040000000000001,High Polio & High Diphtheria,14.5
905,2008,Developing,68.7,26.0,0,1.95,81.04656111,0,57.3,3.68,0.1,4.0,0.7,High Polio & High Diphtheria,14.3
906,2007,Developing,68.6,29.0,0,2.09,5.889526221000001,0,56.6,3.74,0.1,4.1,0.698,High Polio & High Diphtheria,14.2
907,2006,Developing,68.5,211.0,0,2.06,52.12416339999999,136,55.9,3.84,0.1,4.1,0.695,High Polio & High Diphtheria,14.0
908,2005,Developing,68.3,214.0,0,2.02,64.39203443,0,55.1,3.61,0.1,4.1,0.6990000000000001,High Polio & High Diphtheria,13.9
909,2004,Developing,68.1,218.0,0,1.63,43.99452464,37,54.2,3.61,0.1,4.2,0.691,High Polio & High Diphtheria,13.4
910,2003,Developing,68.0,22.0,0,1.76,253.8196705,305,53.2,3.35,0.1,4.2,0.6890000000000001,High Polio & High Diphtheria,13.3
911,2002,Developing,67.9,22.0,0,1.85,206.071686,304,52.2,3.48,0.1,4.2,0.687,High Polio & High Diphtheria,13.3
912,2001,Developing,67.8,221.0,0,1.93,20.711912899999998,17,51.2,3.28,0.1,4.3,0.6829999999999999,High Polio & High Diphtheria,13.2
913,2000,Developing,67.7,221.0,0,2.05,31.25834616,0,5.2,3.87,0.1,4.3,0.6809999999999999,High Polio &  Low Diphtheria,13.1
915,2014,Developing,89.0,78.0,0,8.8,6164.4554020000005,0,61.7,9.68,0.1,0.9,0.89,High Polio & High Diphtheria,17.0
916,2013,Developing,87.0,79.0,0,8.97,6115.496624,2,61.4,9.55,0.1,0.9,0.887,High Polio & High Diphtheria,17.0
917,2012,Developing,84.0,82.0,0,9.24,5889.012536,0,61.0,9.3,0.1,0.9,0.884,High Polio & High Diphtheria,17.0
918,2011,Developing,83.0,86.0,0,9.81,71.01620838,27,6.6,9.1,0.1,0.9,0.878,High Polio & High Diphtheria,16.9
919,2010,Developing,79.9,89.0,0,9.72,591.6691405,5,6.2,9.5,0.1,0.9,0.8740000000000001,High Polio & High Diphtheria,16.8
920,2009,Developing,79.7,91.0,0,9.96,579.7384367999999,2,59.8,9.2,0.1,0.9,0.878,High Polio & High Diphtheria,17.0
921,2008,Developing,79.6,94.0,0,10.26,678.88112,5,59.4,8.35,0.1,0.9,0.8759999999999999,High Polio & High Diphtheria,17.1
922,2007,Developing,79.3,96.0,0,10.45,6147.1323,0,59.0,8.9,0.1,0.9,0.873,High Polio & High Diphtheria,17.2
923,2006,Developing,79.2,96.0,0,10.15,524.7775227,0,58.6,8.38,0.1,0.9,0.8690000000000001,High Polio & High Diphtheria,17.2
924,2005,Developing,78.9,11.0,0,9.95,4816.589613,1,58.1,8.43,0.1,0.9,0.8640000000000001,High Polio & High Diphtheria,17.1
